source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
카이스트 대신 전해드립니다,,2019-10-05 20:09:40,[스컴 앞이랑 택시승강장 쪽에 경사도가 몇 도 정도 되나요?] 카이스트 스포츠 컴플렉스 앞이랑 택시승강장 쪽에 경사도가 몇 도 정도 되나요?    전동 킥보드를 준비해볼까 생각 중인데 등판 각도가 어느 정도 돼야 하는지 잘 모르겠네요. ---------- #취미  https://talkyou.in/pages/KaDaejeon/posts/30415/ 익명 아바타,,,,,,,,,2401041870214522,/story.php?story_fbid=2401041870214522&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 19:14:51,[기경 세새] 기경 세새 다음주 수업 있나요? ---------- #구매와_판매  https://talkyou.in/pages/KaDaejeon/posts/30413/ 익명 아바타,,,,,,,,,2401001503551892,/story.php?story_fbid=2401001503551892&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 19:18:16,[에어팟 케이스 분실]    안녕하세요! 희망관에서 카이마루 오늘 길 + 카이마루 안에서 12:00에서 13:30 사이에 에어팟 케이스를 분실했습니다! 혹시 발견하신 학우님 계시다면 알려주시면 사례하겠습니다! 감사합니다ㅠㅠ ---------- #분실과_습득  https://talkyou.in/pages/KaDaejeon/posts/30414/ 익명 아바타,1,,,,,1,,,2401003573551685,/story.php?story_fbid=2401003573551685&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 18:11:16,[풋살팟] 축구/풋살이 너무 하고 싶은데 할 사람들이 없어요ㅠㅠㅠ   혹시 사람 받아줄 축구팟 없나요.... ---------- #잡담  https://talkyou.in/pages/KaDaejeon/posts/30412/ 익명 아바타,2,2,,,,,,6,2400967116888664,/story.php?story_fbid=2400967116888664&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 16:50:47,"[융합캡스톤디자인2 수면 디바이스 관련 설문조사 (3분 이내, 경품)] 안녕하세요. 2019 가을학기 융합 캡스톤 디자인, 향기에 관한 모든 솔루션을 제공하는 딥센트 팀입니다.   그 중에서도 이번 학기에는 향기를 통해 수면을 돕는 IoT 기기를 만들고 있습니다.   최근 수면의 중요성에 대한 경각심이 높아지면서 수면의 질을 높여주는 산업인 수면 산업(Sleep Industry)이 빠르게 성장하고 있습니다. 다양한 웨어러블 디바이스와 수면 보조장치가 날마다 출시되고 있습니다.   평소 수면시간, 수면의 질 등에 관해 솔직한 답변 부탁드립니다.   응답해주신 분들을 대상으로 5분을 추첨해 던킨도넛 기프티콘을 드리겠습니다.   감사합니다.   https://forms.gle/maEz37Lde2PpcVNq8 ---------- #잡담  https://talkyou.in/pages/KaDaejeon/posts/30411/ 익명 아바타",5,5,,,,,,1,2400925470226162,/story.php?story_fbid=2400925470226162&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 14:49:43,[일반화학1] 일반화학1 퀴즈 족보도 있나요?? 혹시 교분 인쇄소 가면 파나요?? 혹시 가지고 계시다면 공유해주실 수 있으면 정말 감사하겠습니다 ---------- #공지와_정보  https://talkyou.in/pages/KaDaejeon/posts/30408/ 익명 아바타,,,,,,,,,2400859400232769,/story.php?story_fbid=2400859400232769&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:51:29,[저녁 8시-10시 북측 축구 용병 구함] 오늘 토요일 저녁 8시-10시 북측 축구 용병 구합니다.   010-둘7팔2-팔1칠7 로 연락주세요! ---------- #공지와_정보  https://talkyou.in/pages/KaDaejeon/posts/30405/ 익명 아바타,,,,,,,,,2400828390235870,/story.php?story_fbid=2400828390235870&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 16:50:43,[싸늘하다 예감이 날아와 꽂힌다] 서로 분위기 묘한것들은 몇년이 지나서 사람 몇 거치고 삥 둘러가서라도 결국은 둘이 사귀는 케이스 대여섯 봤는데 신기함 ---------- #연애  https://talkyou.in/pages/KaDaejeon/posts/30410/ 익명 아바타,2,2,,,,,,1,2400925403559502,/story.php?story_fbid=2400925403559502&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:04:41,[나를 좋아해주는 사람] 결국 나 좋다고 서툴지만 나한테 자꾸 잘해준 그 사람을 못잡은게 후회되네요... 그땐 부담스러웠는데 지금은 그런 사람만한 사람도 없었던 것 같아요... ---------- #연애  https://talkyou.in/pages/KaDaejeon/posts/30400/ 익명 아바타,,,,,,,,,2400801200238589,/story.php?story_fbid=2400801200238589&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 15:09:31,"[.] 아름다운 추억도 결국 추억일뿐이라는 말을  몇번이고 되새겨보아도, 나는 아직도 누나가 많이 좋더라 반년 가까이 지난 지금에서도 나는 제자리인가봐 멀리서나마 항상 응원할게 ---------- #연애  https://talkyou.in/pages/KaDaejeon/posts/30409/ 익명 아바타",1,,,,,1,,,2400868946898481,/story.php?story_fbid=2400868946898481&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:54:33,[와이파이..........] 아니 어떻게 된게 공대에서 와이파이가 3분마다 느낌표 ! 가 뜨냐........... 영상 하나를 끝까지 못보내 ㅅㅂ............ 제발 이것부터 고쳐줘라..... 이론 설명 영상 보다가 빡쳐서 더 공부하기 싫다 ㅂㄷㅂㄷㅂㄷㅂㄷㅂㄷㅂㄷ ---------- #잡담  https://talkyou.in/pages/KaDaejeon/posts/30406/ 익명 아바타,38,30,,,,4,4,,2400829926902383,/story.php?story_fbid=2400829926902383&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:39:38,[뚱카롱 뚱카롱] 요즘 마카롱에 맛이 들렸는데요 궁동에서 마카롱 좀 잘했던 집 있으면 추천해주세요~~ ---------- #잡담  https://talkyou.in/pages/KaDaejeon/posts/30404/ 익명 아바타,5,5,,,,,,5,2400821113569931,/story.php?story_fbid=2400821113569931&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 03:13:50,[분실] 구노에서 잃어버린 정주행 야잠을 발견했읍니다!  주인 ㅂ누은 ㅇ댓글 달아주세오ㅗ ---------- #분실과_습득  https://talkyou.in/pages/KaDaejeon/posts/30396/ 익명 아바타,,,,,,,,1,2400471553604887,/story.php?story_fbid=2400471553604887&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:36:34,[미적2] 미적2 드랍이 마려워지기 시작했다 다같이 드랍해요 ---------- #분실과_습득  https://talkyou.in/pages/KaDaejeon/posts/30403/ 익명 아바타,28,21,,,,7,,10,2400819176903458,/story.php?story_fbid=2400819176903458&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:20:26,[조커] 주인공 좆병신같은데 일베새끼들 세상이 날 버렸다며 자기정당화하는 플로우 빼박 그대로 아님? 저런 새끼들이 자격지심에 쩔어서 피씨방 알바보고 친절하게 대하라고 쳐패고 고객센터에 폭언하지 옆집여자 엘리베이터에서 한번 마주치고 손자이름짓다가 주거침입하는 찌질이한테 과몰입하는 새끼들 어캐했노ㅋㅋ 영화가 좋으니 등장인물에게 이입한다니 살인의추억에도 이입했나봄 ---------- #취미  https://talkyou.in/pages/KaDaejeon/posts/30402/ 익명 아바타,10,3,7,,,,,11,2400810256904350,/story.php?story_fbid=2400810256904350&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 13:12:52,"[나를 좋아해주는 사람 놓쳐서 후회된다는 분] 이 말이 도움 될지는 모르겠지만, 저는 저를 좋아해준다는 이유만으로 사귀었다가 후회한 적이 있어요. 그사람이 나를 좋아하는 만큼 내가 좋아하지 않으니까 힘들더라고요. 잘해줄 때마다 부담스러운 마음이 앞서서 미안하기도 했고요. 그 사람이 좋아진 거라면, 이번에는 먼저 다가가 보시는 게 어떨까요 ---------- #연애  https://talkyou.in/pages/KaDaejeon/posts/30401/ 익명 아바타",12,9,1,,2,,,,2400806470238062,/story.php?story_fbid=2400806470238062&id=1384103428575043
카이스트 대신 전해드립니다,,2019-10-05 12:47:28,[와플 아저씨] 오늘 와플 아저씨 오셨나요?? ---------- #잡담  https://talkyou.in/pages/KaDaejeon/posts/30399/ 익명 아바타,1,1,,,,,,3,2400792290239480,/story.php?story_fbid=2400792290239480&id=1384103428575043
